iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=18952 | T=7101.31 | NewBest=110674 | Δ=65 | ImproveTotal=180
[IMPROVE] Iter=18953 | T=7101.31 | NewBest=110635 | Δ=39 | ImproveTotal=181
[IMPROVE] Iter=18955 | T=7101.31 | NewBest=110569 | Δ=90 | ImproveTotal=182
[IMPROVE] Iter=18960 | T=7101.31 | NewBest=110535 | Δ=34 | ImproveTotal=183
[IMPROVE] Iter=18968 | T=7094.21 | NewBest=110509 | Δ=26 | ImproveTotal=184
[IMPROVE] Iter=19002 | T=7065.88 | NewBest=110401 | Δ=231 | ImproveTotal=185
[IMPROVE] Iter=19006 | T=7065.88 | NewBest=110214 | Δ=187 | ImproveTotal=186
[IMPROVE] Iter=19009 | T=7065.88 | NewBest=110196 | Δ=18 | ImproveTotal=187
[IMPROVE] Iter=19010 | T=7065.88 | NewBest=110181 | Δ=15 | ImproveTotal=188
[IMPROVE] Iter=19013 | T=7058.81 | NewBest=109840 | Δ=341 | ImproveTotal=189
[IMPROVE] Iter=51249 | T=280.737 | NewBest=109756 | Δ=515 | ImproveTotal=190
[IMPROVE] Iter=51253 | T=280.457 | NewBest=109680 | Δ=76 | ImproveTotal=191
[IMPROVE] Iter=51255 | T=280.457 | NewBest=109637 | Δ=43 | ImproveTotal=192
[IMPROVE] Iter=51258 | T=280.457 | NewBest=109582 | Δ=55 | ImproveTotal=193
[IMPROVE] Iter=51263 | T=280.176 | NewBest=109513 | Δ=69 | ImproveTotal=194
[IMPROVE] Iter=51273 | T=279.896 | NewBest=109380 | Δ=210 | ImproveTotal=195
[IMPROVE] Iter=51274 | T=279.896 | NewBest=109271 | Δ=109 | ImproveTotal=196
[IMPROVE] Iter=51275 | T=279.896 | NewBest=109242 | Δ=29 | ImproveTotal=197
[IMPROVE] Iter=51302 | T=279.057 | NewBest=109226 | Δ=139 | ImproveTotal=198
[IMPROVE] Iter=51303 | T=279.057 | NewBest=109220 | Δ=6 | ImproveTotal=199
[IMPROVE] Iter=51306 | T=279.057 | NewBest=109187 | Δ=203 | ImproveTotal=200
[IMPROVE] Iter=51312 | T=278.778 | NewBest=109141 | Δ=60 | ImproveTotal=201
[IMPROVE] Iter=51335 | T=278.221 | NewBest=109131 | Δ=21 | ImproveTotal=202
[IMPROVE] Iter=51336 | T=278.221 | NewBest=108945 | Δ=186 | ImproveTotal=203
[IMPROVE] Iter=51382 | T=276.832 | NewBest=108820 | Δ=302 | ImproveTotal=204
[IMPROVE] Iter=51383 | T=276.832 | NewBest=108812 | Δ=8 | ImproveTotal=205
[IMPROVE] Iter=51384 | T=276.832 | NewBest=108791 | Δ=21 | ImproveTotal=206
[IMPROVE] Iter=52187 | T=255.538 | NewBest=108730 | Δ=259 | ImproveTotal=207
[IMPROVE] Iter=52191 | T=255.283 | NewBest=108721 | Δ=26 | ImproveTotal=208
[IMPROVE] Iter=52195 | T=255.283 | NewBest=108719 | Δ=19 | ImproveTotal=209
[IMPROVE] Iter=52521 | T=246.992 | NewBest=108655 | Δ=200 | ImproveTotal=210
[IMPROVE] Iter=52538 | T=246.745 | NewBest=108620 | Δ=71 | ImproveTotal=211
[IMPROVE] Iter=52540 | T=246.745 | NewBest=108582 | Δ=38 | ImproveTotal=212
[IMPROVE] Iter=52577 | T=245.759 | NewBest=108566 | Δ=34 | ImproveTotal=213
[IMPROVE] Iter=54410 | T=204.642 | NewBest=108536 | Δ=261 | ImproveTotal=214
[IMPROVE] Iter=54413 | T=204.437 | NewBest=108518 | Δ=23 | ImproveTotal=215
[IMPROVE] Iter=54414 | T=204.437 | NewBest=108430 | Δ=88 | ImproveTotal=216
