Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
200_5000,N_N_5,1,3077246,5.000,11503,13,0,0
200_5000,N_N_5,2,3104020,5.001,12350,7,0,0
200_5000,N_N_5,3,3064714,5.007,12263,12,0,0
200_5000,N_N_5,4,3069360,5.000,12298,6,0,0
200_5000,N_N_5,5,3068824,5.000,11806,9,0,0
200_5000,N_N_5,6,3061489,5.001,12381,6,0,0
200_5000,N_N_5,7,3071427,5.000,12142,6,0,0
200_5000,N_N_5,8,3090616,5.000,12440,5,0,0
200_5000,N_N_5,9,3053713,5.000,12051,4,0,0
200_5000,N_N_5,10,3081046,5.000,12634,4,0,0
200_5000,N_U_1,1,4623785,5.001,16294,0,0,0
200_5000,N_U_1,2,4592349,5.000,17235,0,0,0
200_5000,N_U_1,3,4499169,5.000,17689,0,0,0
200_5000,N_U_1,4,4586166,5.000,18118,0,0,0
200_5000,N_U_1,5,4558834,5.000,17886,0,0,0
200_5000,N_U_1,6,4608269,5.000,17062,1,0,0
200_5000,N_U_1,7,4571266,5.000,17502,0,0,0
200_5000,N_U_1,8,4543247,5.000,17666,0,0,0
200_5000,N_U_1,9,4606593,5.000,17039,0,0,0
200_5000,N_U_1,10,4601825,5.000,17317,0,0,0
200_5000,N_U_2,1,10244387,5.000,17536,0,0,0
200_5000,N_U_2,2,10310846,5.000,17502,0,0,0
200_5000,N_U_2,3,10190501,5.000,17646,0,0,0
200_5000,N_U_2,4,10169459,5.000,19208,0,0,0
200_5000,N_U_2,5,10202253,5.007,17841,0,0,0
200_5000,N_U_2,6,10247408,5.000,17519,0,0,0
200_5000,N_U_2,7,10211611,5.000,18449,0,0,0
200_5000,N_U_2,8,10277132,5.000,17416,0,0,0
200_5000,N_U_2,9,10203841,5.000,17387,0,0,0
200_5000,N_U_2,10,10207767,5.000,18040,0,0,0
200_5000,N_U_3,1,10790068,5.001,17860,0,0,0
200_5000,N_U_3,2,10769249,5.000,18042,0,0,0
200_5000,N_U_3,3,10646551,5.000,18059,0,0,0
200_5000,N_U_3,4,10696737,5.000,18205,0,0,0
200_5000,N_U_3,5,10731396,5.000,19380,0,0,0
