Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
37,8,205,1.000,245753,1638,819,18496
37,9,205,1.000,247766,1652,825,19057
37,10,205,1.000,246984,1646,823,18694
38,1,210,1.000,244073,1627,813,19872
38,2,210,1.000,241264,1608,804,19655
38,3,210,1.000,245348,1636,817,19895
38,4,210,1.000,251371,1676,837,20649
38,5,210,1.000,248958,1660,829,20136
38,6,210,1.000,249698,1664,832,20287
38,7,210,1.000,249310,1662,831,20516
38,8,210,1.000,248929,1660,829,20542
38,9,210,1.000,248794,1658,829,20308
38,10,210,1.000,248448,1656,828,20190
39,1,226,1.000,257080,1714,856,49364
39,2,226,1.000,252061,1680,840,48353
39,3,226,1.000,252883,1686,842,48605
39,4,226,1.000,252926,1686,843,48390
39,5,226,1.000,254295,1695,847,48736
39,6,226,1.000,246084,1640,820,46965
39,7,226,1.000,249301,1662,830,47676
39,8,226,1.000,250492,1670,834,48123
39,9,226,1.000,253281,1688,844,48458
39,10,226,1.000,251420,1676,838,48529
40,1,191,1.000,249326,1662,831,37818
40,2,191,1.000,246989,1646,823,37171
40,3,191,1.000,248277,1655,827,37517
40,4,191,1.000,251004,1674,836,37827
40,5,191,1.000,248699,1658,828,37393
40,6,191,1.000,250280,1668,834,37827
40,7,191,1.000,252823,1686,842,38474
40,8,191,1.000,251591,1677,838,37948
40,9,191,1.000,253778,1692,845,38226
40,10,191,1.000,253042,1687,843,38142
41,1,147,1.000,244301,1628,814,12019
41,2,147,1.000,242931,1620,809,11858
41,3,147,1.000,244504,1630,814,12011
41,4,147,1.000,244352,1629,814,11735
41,5,147,1.000,242973,1620,809,11899
41,6,147,1.000,244247,1628,814,11978
41,7,147,1.000,241197,1608,803,11847
41,8,147,1.000,243827,1626,812,11859
41,9,147,1.000,249070,1660,830,12096
41,10,147,1.000,248539,1657,828,12217
42,1,181,1.000,253917,1693,846,28865
42,2,181,1.000,253503,1690,844,28498
42,3,181,1.000,241281,1608,804,27413
42,4,181,1.000,230517,1537,768,26188
42,5,181,1.000,249452,1662,831,28677
42,6,181,1.000,250161,1668,833,27824
42,7,181,1.000,249745,1665,832,28255
42,8,181,1.000,251241,1675,836,28606
42,9,181,1.000,253865,1692,846,28698
42,10,181,1.000,255138,1701,850,28982
43,1,159,1.000,249144,1661,830,47136
43,2,159,1.000,248276,1655,827,46956
43,3,159,1.000,251906,1679,839,47885
43,4,159,1.000,246820,1646,822,46615
43,5,159,1.000,249311,1662,830,46779
43,6,159,1.000,247072,1647,823,46090
43,7,159,1.000,250393,1669,834,46863
43,8,159,1.000,249974,1666,833,46845
43,9,159,1.000,243509,1624,811,46018
43,10,159,1.000,241156,1608,803,45237
44,1,183,1.000,242914,1620,809,38972
44,2,183,1.000,240098,1600,800,39636
44,3,183,1.000,245810,1639,819,39775
44,4,183,1.000,248871,1659,829,40854
44,5,183,1.000,250192,1668,833,40875
44,6,183,1.000,248514,1656,828,40952
44,7,183,1.000,253393,1689,844,41796
44,8,183,1.000,253020,1686,843,41671
44,9,183,1.000,254064,1694,846,41739
44,10,183,1.000,250365,1669,834,41368
45,1,179,1.000,248578,1657,828,30241
45,2,179,1.000,244491,1629,814,29585
45,3,179,1.000,244756,1632,815,29477
45,4,179,1.000,241394,1609,804,29452
45,5,179,1.000,243574,1624,811,29658
45,6,179,1.000,247944,1653,826,30269
45,7,179,1.000,247666,1651,825,30335
45,8,179,1.000,250172,1668,833,30317
45,9,179,1.000,246468,1643,821,29862
45,10,179,1.000,247211,1648,823,30124
46,1,225,1.000,251610,1678,838,24800
46,2,225,1.000,250276,1668,834,24761
46,3,225,1.000,245410,1636,818,24071
46,4,225,1.000,243503,1623,811,23871
46,5,225,1.000,249539,1664,831,24133
46,6,225,1.000,238529,1590,795,23362
46,7,225,1.000,234701,1564,782,22932
46,8,225,1.000,236239,1575,787,23253
46,9,225,1.000,238097,1587,793,23649
46,10,225,1.000,240963,1606,803,23420
47,1,327,1.000,241103,1608,803,64383
47,2,327,1.000,246418,1643,821,65810
47,3,327,1.000,255136,1701,850,68115
47,4,327,1.000,252971,1686,843,67971
47,5,327,1.000,253096,1687,843,67883
47,6,327,1.000,254620,1698,848,68496
47,7,327,1.000,251477,1676,838,67305
47,8,327,1.000,256617,1711,855,68448
47,9,327,1.000,255421,1703,851,68422
47,10,327,1.000,252689,1684,842,67622
48,1,223,1.000,256916,1713,856,46640
48,2,223,1.000,253553,1690,845,45723
48,3,223,1.000,247575,1650,825,45069
48,4,223,1.000,239012,1594,796,43469
48,5,223,1.000,253058,1687,843,46166
48,6,223,1.000,255638,1704,852,46545
48,7,223,1.000,256014,1706,853,46615
48,8,223,1.000,249008,1660,830,44937
48,9,223,1.000,249970,1666,833,45764
48,10,223,1.000,249560,1664,831,45154
49,1,158,1.000,248467,1656,828,20566
49,2,158,1.000,244417,1629,814,19767
49,3,158,1.000,252196,1681,840,20979
49,4,158,1.000,243895,1626,812,19911
49,5,158,1.000,245091,1634,816,20101
49,6,158,1.000,246596,1644,821,20096
49,7,158,1.000,247183,1648,823,20034
49,8,158,1.000,245774,1638,819,20304
49,9,158,1.000,248469,1656,828,20516
49,10,158,1.000,243830,1626,812,19846
50,1,171,1.000,250059,1667,833,31991
50,2,171,1.000,245716,1638,819,31561
50,3,171,1.000,248350,1656,827,31806
50,4,171,1.000,244158,1628,813,30969
50,5,171,1.000,246410,1642,821,31437
50,6,171,1.000,241840,1612,806,30701
50,7,171,1.000,243991,1626,813,31239
50,8,171,1.000,247073,1647,823,31723
50,9,171,1.000,249674,1664,832,32005
50,10,171,1.000,249167,1661,830,31935
51,1,225,1.000,248234,1654,827,40908
51,2,225,1.000,246888,1646,822,41110
51,3,225,1.000,248005,1653,826,40949
51,4,225,1.000,245688,1638,818,40526
51,5,225,1.000,251177,1674,837,41285
51,6,225,1.000,246088,1640,820,40481
51,7,225,1.000,249949,1666,833,41231
51,8,225,1.000,250684,1671,835,41617
51,9,225,1.000,250623,1670,835,41310
51,10,225,1.000,245904,1639,819,40705
52,1,192,1.000,252203,1681,840,52116
52,2,192,1.000,250815,1672,836,51796
52,3,192,1.000,253413,1690,844,52020
52,4,192,1.000,249355,1662,831,51447
52,5,192,1.000,247337,1649,824,51442
52,6,192,1.000,251752,1678,839,51762
52,7,192,1.000,247283,1648,824,51209
52,8,192,1.000,250854,1672,836,51525
52,9,192,1.000,247418,1649,824,50645
52,10,192,1.000,246736,1645,822,50941
53,1,113,1.000,251445,1676,838,60033
53,2,113,1.000,247076,1647,823,59312
53,3,113,1.000,247132,1648,823,59414
53,4,113,1.000,247972,1653,826,59339
53,5,113,1.000,250004,1667,833,59587
53,6,113,1.000,249901,1666,832,60023
53,7,113,1.000,249964,1666,833,59747
53,8,113,1.000,251136,1674,837,60325
53,9,113,1.000,252901,1686,842,60547
53,10,113,1.000,251899,1679,839,60183
54,1,182,1.000,244131,1627,813,41335
54,2,182,1.000,242528,1617,808,40893
54,3,182,1.000,244418,1630,814,41574
54,4,182,1.000,249570,1664,831,41935
54,5,182,1.000,247765,1652,825,41906
54,6,182,1.000,248744,1658,829,42127
54,7,182,1.000,247819,1652,826,42101
54,8,182,1.000,246168,1640,820,41267
54,9,182,1.000,250570,1670,835,42379
54,10,182,1.000,247964,1653,826,42255
55,1,202,1.000,244897,1632,816,41150
55,2,202,1.000,247061,1647,823,41715
55,3,202,1.000,249065,1660,829,42076
55,4,202,1.000,247996,1653,826,41273
55,5,202,1.000,247890,1652,825,41552
55,6,202,1.000,246922,1646,822,41922
55,7,202,1.000,247501,1650,824,41497
55,8,202,1.000,251186,1674,837,42222
55,9,202,1.000,250958,1673,836,42223
55,10,202,1.000,252913,1686,842,42386
56,1,118,1.000,251568,1677,838,26784
56,2,118,1.000,252030,1680,840,26829
56,3,118,1.000,254613,1698,848,27205
56,4,118,1.000,252943,1686,843,26830
56,5,118,1.000,256002,1706,853,27033
56,6,118,1.000,253414,1690,844,26805
56,7,118,1.000,252980,1686,843,26995
56,8,118,1.000,256520,1710,855,26903
56,9,118,1.000,253246,1688,844,26889
56,10,118,1.000,252959,1686,843,26800
57,1,93,1.000,249922,1666,832,30670
57,2,93,1.000,247678,1651,825,30378
57,3,93,1.000,248981,1660,829,30716
57,4,93,1.000,245640,1637,818,30299
57,5,93,1.000,250835,1672,835,30978
57,6,93,1.000,253305,1688,844,31321
57,7,93,1.000,250401,1669,834,30997
57,8,93,1.000,255427,1702,851,31347
57,9,93,1.000,251349,1676,837,31075
57,10,93,1.000,251414,1676,837,30999
58,1,119,1.000,253604,1690,845,28141
58,2,119,1.000,255652,1704,852,28614
58,3,119,1.000,251742,1678,839,28233
58,4,119,1.000,251769,1678,839,28033
58,5,119,1.000,257859,1719,859,28748
58,6,119,1.000,252206,1681,840,28282
58,7,119,1.000,251377,1676,837,27969
58,8,119,1.000,251794,1678,839,28491
58,9,119,1.000,254305,1695,847,28231
58,10,119,1.000,251427,1676,838,28247
59,1,182,1.000,247812,1652,825,57708
59,2,182,1.000,251391,1676,837,58739
59,3,182,1.000,250233,1668,833,58206
59,4,182,1.000,251614,1677,838,58195
59,5,182,1.000,253130,1687,843,59253
59,6,182,1.000,251168,1675,836,58508
59,7,182,1.000,243237,1622,810,56636
59,8,182,1.000,241035,1606,803,56093
59,9,182,1.000,240317,1602,800,56247
59,10,182,1.000,240817,1605,802,56385
60,1,188,1.000,245472,1636,817,51720
60,2,188,1.000,255638,1704,852,54043
60,3,188,1.000,251295,1675,837,53546
60,4,188,1.000,247169,1648,823,51974
60,5,188,1.000,249204,1661,830,52084
60,6,188,1.000,249009,1660,829,52542
60,7,188,1.000,247223,1648,824,52459
60,8,188,1.000,247182,1648,823,52576
60,9,188,1.000,245773,1638,819,51947
60,10,188,1.000,248577,1657,828,52550
61,1,1041,1.000,249461,1663,831,11633
61,2,1041,1.000,246908,1646,822,11489
61,3,1041,1.000,246363,1642,821,11302
61,4,1041,1.000,245488,1636,818,11509
61,5,1041,1.000,246545,1644,821,11297
61,6,1041,1.000,250693,1671,835,11608
61,7,1041,1.000,250166,1668,833,11596
61,8,1041,1.000,246998,1646,823,11348
61,9,1041,1.000,246881,1646,822,11439
61,10,1041,1.000,249338,1662,831,11845
62,1,857,1.000,246930,1646,823,16398
62,2,857,1.000,243439,1623,811,16227
62,3,857,1.000,244620,1631,815,16345
62,4,857,1.000,245436,1636,818,16164
62,5,857,1.000,246755,1645,822,16520
62,6,857,1.000,247262,1648,824,16294
62,7,857,1.000,243628,1624,812,16158
62,8,857,1.000,244687,1631,815,16574
62,9,857,1.000,246784,1645,822,16482
62,10,857,1.000,249503,1664,831,16638
63,1,1376,1.000,253108,1688,843,38105
63,2,1376,1.000,252483,1683,841,37750
63,3,1376,1.000,254552,1697,848,37846
63,4,1376,1.000,253728,1692,845,38178
63,5,1376,1.000,251409,1676,838,37190
63,6,1376,1.000,244560,1630,815,36289
63,7,1376,1.000,252149,1681,840,37774
63,8,1376,1.000,253479,1690,844,37656
63,9,1376,1.000,253103,1688,843,37862
63,10,1376,1.000,252792,1685,842,37386
64,1,661,1.000,257232,1715,857,111494
64,2,661,1.000,258118,1721,860,111602
64,3,661,1.000,258126,1721,860,111925
64,4,661,1.000,259229,1728,864,112016
64,5,661,1.000,260288,1735,867,112525
64,6,661,1.000,259038,1727,863,112041
64,7,661,1.000,257938,1720,859,111650
64,8,661,1.000,258537,1724,861,111791
64,9,661,1.000,259861,1732,866,112292
64,10,661,1.000,257329,1716,857,111431
65,1,673,1.000,245950,1640,819,24366
65,2,673,1.000,248858,1659,829,24574
65,3,673,1.000,247622,1651,825,24387
65,4,673,1.000,247344,1649,824,24499
65,5,673,1.000,246055,1640,820,24500
65,6,673,1.000,247987,1653,826,24688
65,7,673,1.000,246173,1641,820,24532
65,8,673,1.000,248525,1656,828,24330
65,9,673,1.000,245238,1635,817,24554
65,10,673,1.000,247176,1648,823,24533
66,1,865,1.000,241503,1610,804,4682
66,2,865,1.000,241334,1609,804,4707
66,3,865,1.000,240432,1603,801,4918
66,4,865,1.000,237208,1582,790,4680
66,5,865,1.000,242681,1618,808,4844
66,6,865,1.000,243640,1624,812,4821
66,7,865,1.000,249099,1660,830,4851
66,8,865,1.000,253746,1692,845,4938
66,9,865,1.000,249747,1665,832,4769
66,10,865,1.000,250645,1671,835,5018
