instance,run,TCT,TEC,bound,feasible,runtime
data/T_50.txt,4,171,300,301,1,0.436393
data/T_50.txt,5,171,300,301,1,0.43371
data/T_50.txt,6,171,300,301,1,0.425634
data/T_50.txt,7,171,300,301,1,0.410652
data/T_50.txt,8,171,300,301,1,0.422413
data/T_50.txt,9,171,300,301,1,0.407393
data/T_50.txt,10,171,300,301,1,0.454472
data/T_51.txt,1,225,787,787,1,0.380918
data/T_51.txt,2,225,787,787,1,0.377223
data/T_51.txt,3,225,787,787,1,0.379688
data/T_51.txt,4,225,787,787,1,0.38644
data/T_51.txt,5,225,787,787,1,0.388812
data/T_51.txt,6,225,787,787,1,0.402184
data/T_51.txt,7,225,787,787,1,0.40474
data/T_51.txt,8,225,787,787,1,0.364951
data/T_51.txt,9,225,787,787,1,0.356927
data/T_51.txt,10,225,787,787,1,0.367178
data/T_52.txt,1,192,340,343,1,0.374462
data/T_52.txt,2,192,340,343,1,0.410057
data/T_52.txt,3,192,340,343,1,0.382632
data/T_52.txt,4,192,340,343,1,0.373753
data/T_52.txt,5,192,340,343,1,0.383194
data/T_52.txt,6,192,340,343,1,0.365653
data/T_52.txt,7,192,340,343,1,0.397144
data/T_52.txt,8,192,340,343,1,0.397504
data/T_52.txt,9,192,340,343,1,0.389924
data/T_52.txt,10,192,340,343,1,0.398944
data/T_53.txt,1,113,337,362,1,0.38192
data/T_53.txt,2,113,337,362,1,0.398889
data/T_53.txt,3,113,337,362,1,0.362401
data/T_53.txt,4,113,337,362,1,0.365209
data/T_53.txt,5,113,337,362,1,0.395373
data/T_53.txt,6,113,337,362,1,0.374261
data/T_53.txt,7,113,337,362,1,0.384059
data/T_53.txt,8,113,337,362,1,0.370954
data/T_53.txt,9,113,337,362,1,0.38291
data/T_53.txt,10,113,337,362,1,0.368687
data/T_54.txt,1,182,716,716,1,0.389273
data/T_54.txt,2,182,716,716,1,0.429434
data/T_54.txt,3,182,716,716,1,0.401083
data/T_54.txt,4,182,716,716,1,0.352451
data/T_54.txt,5,182,716,716,1,0.386907
data/T_54.txt,6,182,716,716,1,0.420711
data/T_54.txt,7,182,716,716,1,0.430362
data/T_54.txt,8,182,716,716,1,0.426608
data/T_54.txt,9,182,716,716,1,0.358629
data/T_54.txt,10,182,716,716,1,0.386472
data/T_55.txt,1,202,810,811,1,0.387111
data/T_55.txt,2,202,810,811,1,0.335408
data/T_55.txt,3,202,810,811,1,0.366414
data/T_55.txt,4,202,810,811,1,0.374248
data/T_55.txt,5,202,810,811,1,0.361448
data/T_55.txt,6,202,810,811,1,0.411506
data/T_55.txt,7,202,810,811,1,0.412087
data/T_55.txt,8,202,810,811,1,0.372673
data/T_55.txt,9,202,810,811,1,0.411251
data/T_55.txt,10,202,810,811,1,0.37895
data/T_56.txt,1,118,305,306,1,0.367751
data/T_56.txt,2,118,305,306,1,0.368318
data/T_56.txt,3,118,305,306,1,0.358807
data/T_56.txt,4,118,305,306,1,0.381229
data/T_56.txt,5,118,305,306,1,0.388862
data/T_56.txt,6,118,305,306,1,0.380837
data/T_56.txt,7,118,305,306,1,0.369961
data/T_56.txt,8,118,305,306,1,0.423867
data/T_56.txt,9,118,305,306,1,0.379275
data/T_56.txt,10,118,305,306,1,0.369387
data/T_57.txt,1,93,366,367,1,0.376884
data/T_57.txt,2,93,366,367,1,0.403477
data/T_57.txt,3,93,366,367,1,0.369535
data/T_57.txt,4,93,366,367,1,0.378892
data/T_57.txt,5,93,366,367,1,0.393733
data/T_57.txt,6,93,366,367,1,0.372016
data/T_57.txt,7,93,366,367,1,0.38096
data/T_57.txt,8,93,366,367,1,0.379116
data/T_57.txt,9,93,366,367,1,0.387538
data/T_57.txt,10,93,366,367,1,0.371935
data/T_58.txt,1,119,309,310,1,0.360078
data/T_58.txt,2,119,309,310,1,0.369076
data/T_58.txt,3,119,309,310,1,0.371784
data/T_58.txt,4,119,309,310,1,0.386004
data/T_58.txt,5,119,309,310,1,0.381278
data/T_58.txt,6,119,309,310,1,0.380284
data/T_58.txt,7,119,309,310,1,0.375276
data/T_58.txt,8,119,309,310,1,0.374677
