Instance,Run,Objective,Runtime,Iterations
97,1,2060,1,212853
97,2,2060,1,212570
97,3,2060,1.00001,213197
97,4,2060,1,219853
97,5,2060,1,225956
97,6,2060,1.00001,215015
97,7,2060,1,236270
97,8,2060,1,224552
97,9,2060,1,216460
97,10,2060,1,224393
98,1,940,1,208666
98,2,940,1,210914
98,3,940,1,214657
98,4,940,1,227205
98,5,940,1.00001,228702
98,6,940,1,238502
98,7,940,1.00001,236101
98,8,940,1,235467
98,9,940,1,239194
98,10,940,1,223141
99,1,937,1.00001,219972
99,2,937,1,222157
99,3,937,1,227385
99,4,937,1,236013
99,5,937,1,222683
99,6,937,1,212825
99,7,937,1.00001,223335
99,8,937,1,215741
99,9,937,1,212113
99,10,937,1,217397
100,1,666,1.00001,210516
100,2,666,1.00001,184341
100,3,666,1,200513
100,4,666,1,194862
100,5,666,1,190088
100,6,666,1,196602
100,7,666,1,208168
100,8,666,1,192121
100,9,666,1,205429
100,10,666,1.00001,206535
101,1,839,1.00001,218220
101,2,839,1,228766
101,3,839,1,196735
101,4,839,1,213736
101,5,839,1,210028
101,6,839,1,218031
101,7,839,1,222863
101,8,839,1.00005,209615
101,9,839,1.00001,217598
101,10,839,1,222623
102,1,964,1,197758
102,2,964,1,199946
102,3,964,1.00001,197920
102,4,964,1,193349
102,5,964,1,208911
102,6,964,1,193492
102,7,964,1.00002,198521
102,8,964,1,210146
102,9,964,1,197839
102,10,964,1.00001,197094
103,1,975,1,204612
103,2,975,1,191027
103,3,975,1,198322
103,4,975,1,189858
103,5,975,1,200726
103,6,975,1.00001,212905
103,7,975,1,190778
103,8,975,1,201968
103,9,975,1,201288
103,10,975,1,192290
104,1,719,1,205462
104,2,719,1,191280
104,3,719,1,201741
104,4,719,1.00001,194782
104,5,719,1,219781
104,6,719,1,214101
104,7,719,1,208757
104,8,719,1,200832
104,9,719,1,205419
104,10,719,1.00001,212993
105,1,729,1,221284
105,2,729,1,220123
105,3,729,1,222025
105,4,729,1,216923
105,5,729,1,200515
105,6,729,1,203908
105,7,729,1.00001,203275
105,8,729,1,201626
105,9,729,1,208251
105,10,729,1,209486
106,1,1046,1,200248
106,2,1046,1,201021
106,3,1046,1,195402
106,4,1046,1.00001,188628
106,5,1046,1,204086
106,6,1046,1.00001,223500
106,7,1046,1,208427
106,8,1046,1,187000
106,9,1046,1,198837
106,10,1046,1,208937
107,1,1027,1,205797
107,2,1027,1,210334
107,3,1027,1,205358
107,4,1027,1,199715
107,5,1027,1,193822
107,6,1027,1.00001,198188
107,7,1027,1,223208
107,8,1027,1,205095
107,9,1027,1,209298
107,10,1027,1.00001,203228
108,1,1159,1,209883
108,2,1159,1,191038
108,3,1159,1.00001,189022
108,4,1159,1,201098
108,5,1159,1,207562
108,6,1159,1,204033
108,7,1159,1,194302
108,8,1159,1,205324
108,9,1159,1.00001,196050
108,10,1159,1.00001,195372
109,1,839,1,202470
109,2,839,1,186124
109,3,839,1,203730
109,4,839,1.00001,200516
109,5,839,1,202986
109,6,839,1,208259
109,7,839,1,191973
109,8,839,1,202010
109,9,839,1,207783
109,10,839,1,198387
110,1,1020,1,221900
110,2,1020,1,207086
110,3,1020,1,219757
110,4,1020,1,226699
110,5,1020,1,195870
110,6,1020,1.00001,213645
110,7,1020,1,194230
110,8,1020,1,219522
110,9,1020,1,218546
110,10,1020,1,220661
111,1,618,1,217350
111,2,618,1,215153
111,3,618,1,216662
111,4,618,1,230341
111,5,618,1,238328
111,6,618,1,241259
111,7,618,1.00001,241485
111,8,618,1,239852
111,9,618,1,227373
111,10,618,1,223454
112,1,603,1,192917
112,2,603,1,194118
112,3,603,1.00001,190377
112,4,603,1.00001,187098
112,5,603,1.00001,191645
112,6,603,1,193099
112,7,603,1.00001,197063
112,8,603,1,191490
112,9,603,1,184970
112,10,603,1,194402
113,1,822,1,200747
113,2,822,1,198720
113,3,822,1,194010
113,4,822,1,193770
113,5,822,1,191928
113,6,822,1.00002,200769
113,7,822,1,199370
113,8,822,1,187888
113,9,822,1,196290
113,10,822,1,191917
114,1,650,1.00001,206656
114,2,650,1,200674
114,3,650,1,210510
114,4,650,1,202562
114,5,650,1,206333
114,6,650,1,212539
114,7,650,1,206270
114,8,650,1,197805
114,9,650,1,195738
114,10,650,1,195950
115,1,687,1.00001,191367
115,2,687,1,202047
115,3,687,1,214546
115,4,687,1,221304
115,5,687,1,213781
115,6,687,1,210619
115,7,687,1.00038,191392
115,8,687,1.00001,207146
115,9,687,1,211715
115,10,687,1,210972
116,1,774,1,230545
116,2,774,1.00001,226202
116,3,774,1,243869
116,4,774,1,238448
116,5,774,1,234478
116,6,774,1,232964
116,7,774,1,229251
116,8,774,1,215586
116,9,774,1,227046
116,10,774,1,238067
117,1,348,1,291996
117,2,348,1.00007,442767
117,3,348,1,444662
117,4,348,1,451642
117,5,348,1,453478
117,6,348,1,437994
117,7,348,1,447499
117,8,348,1,398588
117,9,348,1,393443
117,10,348,1,343645
118,1,840,1,373200
118,2,840,1,414921
118,3,840,1,441703
118,4,840,1,455712
118,5,840,1.00001,463059
118,6,840,1,464946
118,7,840,1,445333
118,8,840,1,461960
118,9,840,1,462012
118,10,840,1,461753
119,1,539,1.00025,442964
119,2,539,1,403755
119,3,539,1.00001,443271
119,4,539,1,426390
119,5,539,1,267201
119,6,539,1,214487
119,7,539,1,221569
119,8,539,1,227125
119,9,539,1,222758
119,10,539,1,229120
120,1,923,1,235016
120,2,923,1,230681
120,3,923,1,232585
120,4,923,1,231670
120,5,923,1,233542
120,6,923,1,220819
120,7,923,1.00001,220622
120,8,923,1,238603
120,9,923,1,199349
120,10,923,1,224077
121,1,452,1,237043
121,2,452,1.00001,247581
121,3,452,1,236205
121,4,452,1,237728
121,5,452,1,241351
121,6,452,1,236739
121,7,452,1.00001,244697
121,8,452,1,231192
121,9,452,1,240058
121,10,452,1,227035
122,1,354,1,245606
122,2,354,1,244127
122,3,354,1,221716
122,4,354,1,248075
