Instance,ISA_obj_best,HybridTabu_obj_best,delta_best,delta_best_pct,verdict_best,ISA_obj_avg,HybridTabu_obj_avg,delta_avg,delta_avg_pct,verdict_avg,ISA_obj_std,HybridTabu_obj_std,ISA_iter_avg,HybridTabu_iter_avg,ISA_runtime_avg,HybridTabu_runtime_avg,ISA_n_runs,HybridTabu_n_runs
1101,237.0,237.0,0.0,0.0,Tie,237.0,237.0,0.0,0.0,Tie,0.0,0.0,160083.7,244687.7,1.0000019999999998,1.0000069999999999,10.0,10.0
1102,286.0,286.0,0.0,0.0,Tie,286.0,286.0,0.0,0.0,Tie,0.0,0.0,223582.9,253472.8,1.000001,1.000009,10.0,10.0
1103,245.0,245.0,0.0,0.0,Tie,245.0,245.0,0.0,0.0,Tie,0.0,0.0,309485.1,254418.7,1.000001,1.0000339999999999,10.0,10.0
1104,282.0,282.0,0.0,0.0,Tie,282.0,282.0,0.0,0.0,Tie,0.0,0.0,307447.7,247005.6,1.000006,1.000006,10.0,10.0
1105,220.0,220.0,0.0,0.0,Tie,220.0,220.0,0.0,0.0,Tie,0.0,0.0,308598.7,247760.9,1.0,1.000969,10.0,10.0
1106,256.0,256.0,0.0,0.0,Tie,256.0,256.0,0.0,0.0,Tie,0.0,0.0,270204.9,241699.8,1.0,1.000001,10.0,10.0
1107,280.0,280.0,0.0,0.0,Tie,280.0,280.0,0.0,0.0,Tie,0.0,0.0,274416.7,239897.8,1.0,1.0,10.0,10.0
1108,203.0,203.0,0.0,0.0,Tie,203.0,203.0,0.0,0.0,Tie,0.0,0.0,254445.9,247252.2,1.0000019999999998,1.000001,10.0,10.0
1109,264.0,264.0,0.0,0.0,Tie,264.0,264.0,0.0,0.0,Tie,0.0,0.0,217570.3,247094.5,1.000003,1.000001,10.0,10.0
111,618.0,618.0,0.0,0.0,Tie,618.0,618.0,0.0,0.0,Tie,0.0,0.0,49426.0,81829.1,0.20000300000000001,0.2000019,10.0,10.0
1110,307.0,307.0,0.0,0.0,Tie,307.0,307.0,0.0,0.0,Tie,0.0,0.0,288124.9,249237.0,1.0000019999999998,1.000004,10.0,10.0
1111,432.0,433.0,1.0,0.23148148148148145,ISA better,433.6,434.9,1.2999999999999545,0.29981549815497105,ISA better,1.2000000000000002,1.7000000000000002,167442.5,249321.8,1.0000019999999998,1.000066,10.0,10.0
1112,559.0,559.0,0.0,0.0,Tie,561.6,561.1,-0.5,-0.08903133903133903,Tabu better,1.7435595774162695,1.1357816691600549,167703.0,256378.7,1.000003,1.0,10.0,10.0
