Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
44,4,183,0.200009,41720,2,8
44,5,183,0.200003,42691,2,8
44,6,183,0.200002,38462,2,8
44,7,183,0.200008,46103,2,8
44,8,183,0.200001,41635,2,8
44,9,183,0.200001,43084,2,8
44,10,183,0.200003,38518,2,8
45,1,179,0.200004,36682,2,8
45,2,179,0.200009,35303,2,8
45,3,179,0.200003,39386,2,8
45,4,179,0.200001,41669,2,8
45,5,179,0.200003,36999,2,8
45,6,179,0.200005,41373,2,8
45,7,179,0.200054,40068,2,8
45,8,179,0.200003,43665,2,8
45,9,179,0.200003,41759,2,8
45,10,179,0.200002,41312,2,8
46,1,225,0.200002,41128,2,8
46,2,225,0.200003,41240,2,8
46,3,225,0.200002,39350,2,8
46,4,225,0.200002,39402,2,8
46,5,225,0.200037,40220,2,8
46,6,225,0.200003,42627,2,8
46,7,225,0.200004,37376,2,8
46,8,225,0.200002,43274,2,8
46,9,225,0.200001,40362,2,8
46,10,225,0.200001,40874,2,8
47,1,327,0.200001,39735,2,8
47,2,327,0.200002,43665,2,8
47,3,327,0.200001,42261,2,8
47,4,327,0.20001,42235,2,8
47,5,327,0.200001,42006,2,8
47,6,327,0.200001,43237,2,8
47,7,327,0.200002,43117,2,8
47,8,327,0.20001,41478,2,8
47,9,327,0.200002,43501,2,8
47,10,327,0.200005,45049,2,8
48,1,223,0.200006,35736,2,8
48,2,223,0.200003,42752,2,8
48,3,223,0.200004,47803,2,8
48,4,223,0.200003,46319,2,8
48,5,223,0.200002,47287,2,8
48,6,223,0.200002,47152,2,8
48,7,223,0.200001,44789,2,8
48,8,223,0.200002,45641,2,8
48,9,223,0.200004,40227,2,8
48,10,223,0.200003,39566,2,8
49,1,158,0.200005,34648,2,8
49,2,158,0.200002,32090,2,8
49,3,158,0.200005,34400,2,8
49,4,158,0.200002,34719,2,8
49,5,158,0.200008,36869,2,8
49,6,158,0.200003,37382,2,8
49,7,158,0.200003,42814,2,8
49,8,158,0.200004,33249,2,8
49,9,158,0.200003,40563,2,8
49,10,158,0.200005,37148,2,8
50,1,171,0.200004,40080,2,8
50,2,171,0.200003,33204,2,8
50,3,171,0.200001,33748,2,8
50,4,171,0.200004,40819,2,8
50,5,171,0.200004,46916,2,8
50,6,171,0.200004,48523,2,8
50,7,171,0.200002,38436,2,8
50,8,171,0.200002,49435,2,8
50,9,171,0.200002,41910,2,8
50,10,171,0.200003,43717,2,8
51,1,225,0.200004,45687,2,8
51,2,225,0.200003,43239,2,8
51,3,225,0.200003,43093,2,8
51,4,225,0.200008,35095,2,8
51,5,225,0.200003,42387,2,8
51,6,225,0.200022,34555,2,8
51,7,225,0.200002,39487,2,8
51,8,225,0.200008,36281,2,8
51,9,225,0.200002,40578,2,8
51,10,225,0.200019,40157,2,8
52,1,192,0.2,40024,2,8
52,2,192,0.200002,41654,2,8
52,3,192,0.200001,36466,2,8
52,4,192,0.200003,42840,2,8
52,5,192,0.200003,39893,2,8
52,6,192,0.200005,37543,2,8
52,7,192,0.200002,42591,2,8
52,8,192,0.200003,38197,2,8
52,9,192,0.200003,36200,2,8
52,10,192,0.200002,43367,2,8
53,1,113,0.200005,42546,2,8
53,2,113,0.200001,35662,2,8
53,3,113,0.200003,41193,2,8
53,4,113,0.200081,38339,2,8
53,5,113,0.200001,41207,2,8
53,6,113,0.200004,35325,2,8
53,7,113,0.2,41259,2,8
53,8,113,0.200015,36225,2,8
53,9,113,0.200004,38730,2,8
53,10,113,0.200002,37330,2,8
54,1,182,0.200006,43178,2,8
54,2,182,0.200001,46331,2,8
54,3,182,0.200002,41564,2,8
54,4,182,0.200004,38248,2,8
54,5,182,0.200003,44333,2,8
54,6,182,0.200002,48409,2,8
54,7,182,0.200002,47316,2,8
54,8,182,0.200003,37653,2,8
54,9,182,0.200002,38361,2,8
54,10,182,0.200002,47994,2,8
55,1,202,0.200001,45539,2,8
55,2,202,0.200021,40351,2,8
55,3,202,0.200005,34696,2,8
55,4,202,0.200002,35018,2,8
55,5,202,0.200008,43805,2,8
55,6,202,0.200001,41430,2,8
55,7,202,0.200001,43757,2,8
55,8,202,0.2,41979,2,8
55,9,202,0.200001,40373,2,8
55,10,202,0.200003,38488,2,8
56,1,118,0.200003,37161,2,8
56,2,118,0.200002,46245,2,8
56,3,118,0.200003,38105,2,8
56,4,118,0.2,45276,2,8
56,5,118,0.200002,47083,2,8
56,6,118,0.200005,42425,2,8
56,7,118,0.200002,47234,2,8
56,8,118,0.2,42586,2,8
56,9,118,0.200004,41018,2,8
56,10,118,0.200003,45077,2,8
57,1,93,0.200003,37637,2,8
57,2,93,0.200001,44145,2,8
57,3,93,0.200004,43571,2,8
57,4,93,0.200001,36187,2,8
57,5,93,0.200002,44552,2,8
57,6,93,0.200001,43905,2,8
57,7,93,0.200002,44266,2,8
57,8,93,0.200002,37110,2,8
57,9,93,0.200002,33068,2,8
57,10,93,0.200003,43461,2,8
58,1,119,0.200002,39293,2,8
58,2,119,0.200001,44760,2,8
58,3,119,0.200001,45396,2,8
58,4,119,0.200001,45806,2,8
58,5,119,0.200005,44317,2,8
58,6,119,0.200005,45370,2,8
58,7,119,0.200002,42140,2,8
58,8,119,0.200012,39183,2,8
58,9,119,0.200001,37525,2,8
58,10,119,0.2,42364,2,8
59,1,182,0.200003,38170,2,8
59,2,182,0.200003,42879,2,8
59,3,182,0.200003,37222,2,8
59,4,182,0.200005,39496,2,8
59,5,182,0.200003,35916,2,8
59,6,182,0.200002,36984,2,8
59,7,182,0.200001,40469,2,8
59,8,182,0.200003,42445,2,8
59,9,182,0.200004,40927,2,8
59,10,182,0.200006,42337,2,8
60,1,188,0.200001,40004,2,8
60,2,188,0.200002,44481,2,8
60,3,188,0.200002,41991,2,8
60,4,188,0.200003,43655,2,8
60,5,188,0.200012,50035,2,8
60,6,188,0.200001,40757,2,8
60,7,188,0.200002,38957,2,8
60,8,188,0.200005,39320,2,8
60,9,188,0.200003,41546,2,8
60,10,188,0.200001,45079,2,8
61,1,1041,0.200002,35164,2,8
61,2,1041,0.200002,44966,2,8
61,3,1041,0.200001,44031,2,8
61,4,1041,0.200002,46740,2,8
