Instance,Run,Objective,Runtime,Iterations
74,1,735,0.200003,47518
74,2,735,0.200002,45314
74,3,735,0.200004,49743
74,4,735,0.2,43274
74,5,735,0.200008,44085
74,6,735,0.200001,44064
74,7,735,0.200004,44464
74,8,735,0.200001,46230
74,9,735,0.200001,45648
74,10,735,0.200003,43976
75,1,549,0.200003,44271
75,2,549,0.200003,43576
75,3,549,0.200003,47605
75,4,549,0.200001,45894
75,5,549,0.200002,42305
75,6,549,0.200002,42479
75,7,549,0.200001,43532
75,8,549,0.200003,41360
75,9,549,0.200002,45033
75,10,549,0.200001,44782
76,1,584,0.200004,48897
76,2,584,0.200003,43411
76,3,584,0.200002,43882
76,4,584,0.200009,47919
76,5,584,0.200004,47661
76,6,584,0.200003,51933
76,7,584,0.200002,49664
76,8,584,0.200003,50173
76,9,584,0.200004,49431
76,10,584,0.200003,49921
77,1,596,0.200002,50795
77,2,596,0.200001,49865
77,3,596,0.200004,48955
77,4,596,0.200003,50783
77,5,596,0.200004,50045
77,6,596,0.200005,50185
77,7,596,0.200004,49232
77,8,596,0.200004,49458
77,9,596,0.200002,50218
77,10,596,0.200002,50146
78,1,681,0.200001,51480
78,2,681,0.200003,48516
78,3,681,0.200003,50149
78,4,681,0.200003,48780
78,5,681,0.200001,49332
78,6,681,0.200003,48882
78,7,681,0.200004,55389
78,8,681,0.200002,55380
78,9,681,0.200004,55427
78,10,681,0.200009,54889
79,1,684,0.200001,52415
79,2,684,0.200002,46592
79,3,684,0.200003,44548
79,4,684,0.200002,45509
79,5,684,0.200004,53650
79,6,684,0.200003,53336
79,7,684,0.200003,51780
79,8,684,0.200003,52444
79,9,684,0.200003,53295
79,10,684,0.200002,51353
80,1,541,0.200004,48643
80,2,541,0.200064,48977
80,3,541,0.200003,49145
80,4,541,0.200003,49176
80,5,541,0.200004,49356
80,6,541,0.200003,49465
80,7,541,0.200003,48405
80,8,541,0.200002,48904
80,9,541,0.200004,48109
80,10,541,0.200004,48953
81,1,808,0.200002,49954
81,2,808,0.200002,50041
81,3,808,0.200003,49031
81,4,808,0.200002,44246
81,5,808,0.200005,48480
81,6,808,0.200002,49009
81,7,808,0.200002,48343
81,8,808,0.200004,49513
81,9,808,0.200003,49818
81,10,808,0.200004,49502
82,1,750,0.200002,49653
82,2,750,0.200002,48583
82,3,750,0.200004,50002
82,4,750,0.200002,49511
82,5,750,0.200003,49227
82,6,750,0.200004,49475
82,7,750,0.200001,49685
82,8,750,0.200004,49571
82,9,750,0.200003,49144
82,10,750,0.200003,49064
83,1,720,0.200001,50453
83,2,720,0.200003,47840
83,3,720,0.200005,49417
83,4,720,0.200003,49782
83,5,720,0.200002,49434
83,6,720,0.200004,49479
83,7,720,0.200003,49169
83,8,720,0.200001,49378
83,9,720,0.200003,51031
83,10,720,0.200002,50491
84,1,698,0.200004,49311
84,2,698,0.200001,50894
84,3,698,0.200002,47542
84,4,698,0.200001,45214
