Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
59,7,182,0.200004,44746,2,8
59,8,182,0.200005,49343,2,8
59,9,182,0.200013,43909,2,8
59,10,182,0.200001,47284,2,8
60,1,188,0.200002,43570,2,8
60,2,188,0.200001,49186,2,8
60,3,188,0.200002,49953,2,8
60,4,188,0.200007,51120,2,8
60,5,188,0.200002,48230,2,8
60,6,188,0.200002,46765,2,8
60,7,188,0.200001,49908,2,8
60,8,188,0.200001,46820,2,8
60,9,188,0.200003,50993,2,8
60,10,188,0.200001,51776,2,8
61,1,1041,0.200003,48290,2,8
61,2,1041,0.200006,48932,2,8
61,3,1041,0.200001,50425,2,8
61,4,1041,0.200003,49618,2,8
61,5,1041,0.200003,41116,2,8
61,6,1041,0.200004,41644,2,8
61,7,1041,0.200009,47170,2,8
61,8,1041,0.200003,51818,2,8
61,9,1041,0.200004,47999,2,8
61,10,1041,0.2,46272,2,8
62,1,857,0.200002,45308,2,8
62,2,857,0.200003,49726,2,8
62,3,857,0.200004,49611,2,8
62,4,857,0.200005,54928,2,8
62,5,857,0.200001,48514,2,8
62,6,857,0.200003,49002,2,8
62,7,857,0.200004,46404,2,8
62,8,857,0.200022,48052,2,8
62,9,857,0.200011,46794,2,8
62,10,857,0.200003,46014,2,8
63,1,1376,0.200003,42616,2,8
63,2,1376,0.200003,43380,2,8
63,3,1376,0.200003,43920,2,8
63,4,1376,0.200004,46710,2,8
63,5,1376,0.200003,49297,2,8
63,6,1376,0.200002,49559,2,8
63,7,1376,0.200009,51414,2,8
63,8,1376,0.200003,47136,2,8
63,9,1376,0.200001,50331,2,8
63,10,1376,0.200014,48599,2,8
64,1,661,0.200002,40506,2,8
64,2,661,0.200004,46060,2,8
64,3,661,0.200003,46220,2,8
64,4,661,0.200004,39455,2,8
64,5,661,0.200001,44427,2,8
64,6,661,0.200002,42736,2,8
64,7,661,0.200004,45777,2,8
64,8,661,0.200004,50290,2,8
64,9,661,0.200003,50402,2,8
64,10,661,0.2,46187,2,8
65,1,673,0.200001,47400,2,8
65,2,673,0.200003,50659,2,8
65,3,673,0.200002,53831,2,8
65,4,673,0.200002,53890,2,8
65,5,673,0.200019,49237,2,8
65,6,673,0.200002,49951,2,8
65,7,673,0.200002,51956,2,8
65,8,673,0.200004,53218,2,8
65,9,673,0.200002,43565,2,8
65,10,673,0.200004,46135,2,8
66,1,865,0.200003,35463,2,8
66,2,865,0.200008,49527,2,8
66,3,865,0.200004,38175,2,8
66,4,865,0.200002,50455,2,8
66,5,865,0.200001,47411,2,8
66,6,865,0.200009,42709,2,8
66,7,865,0.200001,47197,2,8
66,8,865,0.200002,43673,2,8
66,9,865,0.200005,49640,2,8
66,10,865,0.200004,45814,2,8
67,1,1346,0.200004,49173,2,8
67,2,1346,0.200003,46814,2,8
67,3,1346,0.200002,43438,2,8
67,4,1346,0.200001,47202,2,8
67,5,1346,0.200002,45659,2,8
67,6,1346,0.200004,45945,2,8
67,7,1346,0.200002,46109,2,8
67,8,1346,0.200003,47041,2,8
67,9,1346,0.200004,50145,2,8
67,10,1346,0.200002,45963,2,8
68,1,659,0.200002,35348,2,8
68,2,659,0.200002,47031,2,8
68,3,659,0.200004,45716,2,8
68,4,659,0.200004,40810,2,8
68,5,659,0.200001,43940,2,8
68,6,659,0.200004,43200,2,8
68,7,659,0.2,46342,2,8
68,8,659,0.200013,37252,2,8
68,9,659,0.200005,45889,2,8
68,10,659,0.200005,43050,2,8
69,1,1523,0.200001,43953,2,8
69,2,1523,0.200001,49161,2,8
69,3,1523,0.200001,42951,2,8
69,4,1523,0.200003,54141,2,8
69,5,1523,0.200005,50474,2,8
69,6,1523,0.200002,45612,2,8
69,7,1523,0.200001,47170,2,8
69,8,1523,0.200002,44089,2,8
69,9,1523,0.20001,47115,2,8
69,10,1523,0.200011,34138,2,8
70,1,720,0.200002,49356,2,8
70,2,720,0.200001,41992,2,8
70,3,720,0.200003,45273,2,8
70,4,720,0.200002,42471,2,8
70,5,720,0.200001,42326,2,8
70,6,720,0.200001,47404,2,8
70,7,720,0.200002,43354,2,8
70,8,720,0.200003,48471,2,8
70,9,720,0.200003,48507,2,8
70,10,720,0.200001,40970,2,8
71,1,779,0.200003,43879,2,8
71,2,779,0.200002,44153,2,8
71,3,779,0.200004,46417,2,8
71,4,779,0.200004,46302,2,8
71,5,779,0.200005,41836,2,8
71,6,779,0.200008,39771,2,8
71,7,779,0.200001,46717,2,8
71,8,779,0.200001,46370,2,8
71,9,779,0.200006,47779,2,8
71,10,779,0.200003,43625,2,8
72,1,913,0.200002,49708,2,8
72,2,913,0.200001,47165,2,8
72,3,913,0.200004,46462,2,8
72,4,913,0.200003,46829,2,8
72,5,913,0.200004,42449,2,8
72,6,913,0.200003,45056,2,8
72,7,913,0.200004,51777,2,8
72,8,913,0.200002,49213,2,8
72,9,913,0.200002,42552,2,8
72,10,913,0.200006,44024,2,8
73,1,902,0.200003,44160,2,8
73,2,902,0.200003,42425,2,8
73,3,902,0.200003,40282,2,8
73,4,902,0.200005,46311,2,8
73,5,902,0.200001,41176,2,8
73,6,902,0.200003,44873,2,8
73,7,902,0.200012,38453,2,8
73,8,902,0.200004,39290,2,8
73,9,902,0.200002,47534,2,8
73,10,902,0.200003,36215,2,8
74,1,735,0.200003,47518,2,8
74,2,735,0.200002,45314,2,8
74,3,735,0.200004,49743,2,8
74,4,735,0.2,43274,2,8
74,5,735,0.200008,44085,2,8
74,6,735,0.200001,44064,2,8
74,7,735,0.200004,44464,2,8
74,8,735,0.200001,46230,2,8
74,9,735,0.200001,45648,2,8
74,10,735,0.200003,43976,2,8
75,1,549,0.200003,44271,2,8
75,2,549,0.200003,43576,2,8
75,3,549,0.200003,47605,2,8
75,4,549,0.200001,45894,2,8
75,5,549,0.200002,42305,2,8
75,6,549,0.200002,42479,2,8
75,7,549,0.200001,43532,2,8
75,8,549,0.200003,41360,2,8
75,9,549,0.200002,45033,2,8
75,10,549,0.200001,44782,2,8
76,1,584,0.200004,48897,2,8
76,2,584,0.200003,43411,2,8
76,3,584,0.200002,43882,2,8
76,4,584,0.200009,47919,2,8
76,5,584,0.200004,47661,2,8
76,6,584,0.200003,51933,2,8
76,7,584,0.200002,49664,2,8
76,8,584,0.200003,50173,2,8
